Apples,0
Avocados,0
Bananas,0
Berries,0
Cherries,0
Grapes,0
Grapefruit,0
Kiwi,0
Lemons,0
Limes,0
Melons,0
Nectarines,0
Oranges,0
Peaches,0
Pears,0
Plums,0
Asparagus,1
Beets,1
Broccoli,1
Cabbage,1
Cauliflower,1
Celery,1
Corn,1
Cucumbers,1
Eggplant,1
Garlic,1
Green Onions,1
Lettuce,1
Onions,1
Peppers,1
Potatoes,1
Salad Greens,1
Spinach,1
Sweet Potato,1
Tomatoes,1
Zucchini,1
Butter,2
Cheddar Cheese,2
Cream Cheese,2
Brown Eggs,2
White Eggs,2
Eggs,2
Feta Cheese,2
Milk,2
Sour Cream,2
Yogurt,2
Whipped Cream,2
Bread,3
Bagels,3
Cake,3
Croissants,3
Cookies,3
Donuts,3
Hamburger Buns,3
Muffins,3
Pita Bread,3
Tortillas,3
Wraps,3
Bacon,4
Burgers,4
Chicken,4
Cod,4
Deli Meat,4
Ground Beef,4
Ham,4
Hot Dogs,4
Salmon,4
Steak,4
Tuna,4
Turkey,4
Paneer,5
Quorn Meat,5
Soy Burgers,5
Soy Hot Dogs,5
Tempeh,5
Tofu,5
Apple Sauce,6
Baked Beans,6
Black Beans,6
Broth,6
Canned Fruit,6
Chickpeas,6
Chopped Tomatoes,6
Creamed Corn,6
Jam,6
Jelly,6
Lentils,6
Olives,6
Pasta Sauce,6
Peas,6
Peanut Butter,6
Pickles,6
Pie Filling,6
Soup,6
Breakfast Cereals,7
Couscous,7
Granola,7
Lasagna Noodles,7
Macaroni,7
Oats,7
Pasta,7
Quinoa,7
Rice,7
Rice Noodles,7
Spaghetti,7
Vermicelli,7
BBQ Sauce,8
Chutney,8
Coconut Oil,8
Honey,8
Horseradish,8
Hot Sauce,8
Lemon Juice,8
Mayonnaise,8
Mustard,8
Olive Oil,8
Relish,8
Rice Bran Oil,8
Salad Dressing,8
Salsa,8
Soy Sauce,8
Steak Sauce,8
Sweet and Sour Sauce,8
Teriyaki,8
Tomato Ketchup,8
Vegetable Oil,8
Vinegar,8
Basil,9
Bay Leaves,9
BBQ Seasoning,9
Black Pepper,9
Cajun Seasoning,9
Cinnamon,9
Cloves,9
Cumin,9
Coriander Seed,9
Garlic Powder,9
Garlic Salt,9
Italian Seasoning,9
Oregano,9
Paprika,9
Red Pepper,9
Sage,9
Salt,9
Vanilla Sugar,9
Burger Patties,10
Ice Cream,10
Ice Pops,10
Pies,10
Pizza,10
Frozen Meals,10
Frozen Breakfast,10
Waffles,10
Almonds,11
Candy,11
Cashews,11
Cookies,11
Crackers,11
Dried Fruit,11
Granola Bars,11
Gelatin,11
Popcorn,11
Potato Chips,11
Pretzels,11
Pudding,11
Seeds,11
Tortilla Chips,11
Chewing Gum,11
Beer,12
Club Soda,12
Coconut Water,12
Coffee,12
Energy Drinks,12
Juice,12
Kombucha,12
Liquor,12
Soft Drinks,12
Tea Bags,12
Wine,12
Air Freshener,13
Aluminum Foil,13
Batteries,13
Bleach,13
Coffee Filters,13
Dish Soap,13
Dishwasher Detergent,13
Fabric Softener,13
Floor Cleaner,13
Garbage Bags,13
Glass Spray,13
Laundry Detergent,13
Light Bulbs,13
Napkins,13
Plastic Wrap,13
Plastic Bags,13
Paper Towels,13
Sponges,13
Surface Spray,13
Toilet Paper,13
Vacuum Bags,13
Waxed Paper,13
Body Lotion,14
Bug Repellant,14
Conditioner,14
Cotton Swabs,14
Dental Floss,14
Deodorant,14
Facial Tissues,14
Hand Soap,14
Lip Balm,14
Makeup,14
Makeup Wipes,14
Mouthwash,14
Razors,14
Shampoo,14
Shaving Cream,14
Shower Gel,14
Sunscreen,14
Toothpaste,14
Cat Food,15
Cat Litter,15
Chew Toys,15
Dog Food,15
Dog Treats,15
Flea Treatment,15
Pet Shampoo,15
Poop Bags,15
